Local_Authorities,Region,Area_Code,born_in_UK,Disabled,White_ethnicity,House_Price,Median_Earnings
Hartlepool,North East,E06000001,0.960320125,0.228995646,0.964586627,125000,30345
Middlesbrough,North East,E06000002,0.877113021,0.205108252,0.823684722,130000,29600
Redcar and Cleveland,North East,E06000003,0.970841787,0.223267976,0.976972263,145000,26436
Stockton-on-Tees,North East,E06000004,0.937607455,0.198641878,0.920354027,152450,30683
Darlington,North East,E06000005,0.921827458,0.195762484,0.943682223,141100,30288
Halton,North West,E06000006,0.952303118,0.220909416,0.964958981,160000,34183
Warrington,North West,E06000007,0.906396049,0.17663788,0.935214766,230000,33333
Blackburn with Darwen,North West,E06000008,0.81909538,0.184666985,0.603545325,130000,28441
Blackpool,North West,E06000009,0.921056177,0.25141986,0.946921353,129725,27004
Kingston upon Hull,Yorkshire and The Humber,E06000010,0.869061574,0.199982023,0.917513688,127500,28680
East Riding of Yorkshire,Yorkshire and The Humber,E06000011,0.950364682,0.185849371,0.97354587,202000,30076
North East Lincolnshire,Yorkshire and The Humber,E06000012,0.934317823,0.203808468,0.962189264,147500,27969
North Lincolnshire,Yorkshire and The Humber,E06000013,0.905891228,0.196505186,0.943252004,161000,30441
York,Yorkshire and The Humber,E06000014,0.892235025,0.170554331,0.92775896,290250,33051
Derby,East Midlands,E06000015,0.804127577,0.187631043,0.737940191,188000,36101
Leicester,East Midlands,E06000016,0.588973118,0.155052893,0.408763105,221000,29420
Rutland,East Midlands,E06000017,0.91741376,0.158907647,0.947867183,300000,32890
Nottingham,East Midlands,E06000018,0.754349049,0.186069363,0.659483611,175000,29155
Herefordshire,West Midlands,E06000019,0.914048173,0.186212133,0.969064448,270000,27500
Telford and Wrekin,West Midlands,E06000020,0.886239551,0.196867539,0.881944594,205000,31885
Stoke-on-Trent,West Midlands,E06000021,0.869029419,0.211356626,0.834848608,135000,29457
Bath and North East Somerset,South West,E06000022,0.879436218,0.16430466,0.921921937,365000,32201
Bristol,South West,E06000023,0.811693191,0.171777804,0.810938376,330000,34249
North Somerset,South West,E06000024,0.916047617,0.187022443,0.957080436,299973,29890
South Gloucestershire,South West,E06000025,0.89440303,0.163309506,0.911960059,320000,36903
Plymouth,South West,E06000026,0.90801076,0.21683447,0.939673964,205000,29250
Torbay,South West,E06000027,0.928955434,0.238472912,0.961227903,245000,25447
Swindon,South West,E06000030,0.795840724,0.158840667,0.814626623,250000,34545
Peterborough,East of England,E06000031,0.71769168,0.163117312,0.753831031,225000,31307
Luton,East of England,E06000032,0.615621948,0.137320098,0.451909332,293000,33156
Southend-on-Sea,East of England,E06000033,0.874999308,0.183223935,0.874882393,326750,28337
Thurrock,East of England,E06000034,0.790107955,0.1445625,0.766971591,335000,33597
